,score,source,title
0,99.91,fox-news,"Rep. Cathy McMorris Rodgers, Benji Backer: How to depolarize the climate change debate"
1,-82.0,fox-news,Leslie Marshall: Top impeachment takeaways (from a Democrat's perspective)
2,-99.95,fox-news,Dan Gainor: 2019 was American journalism’s worst year ever – Here are 7 reasons why
3,67.05,the-new-york-times,Darren Aronofsky: Greta Thunberg Is the Icon the Planet Desperately Needs
4,99.56,the-new-york-times,No More Phones and Other Tech Predictions for the Next Decade
5,-99.46,al-jazeera-english,What makes this COP special?
6,99.85,al-jazeera-english,Britain's election and the deepening generational divide
